date,ranking,name,country,age,points,tournamentsPlayed,playerUrl
1974-12-20,63,Patrice Dominguez,FRA,24,0,0,https://www.atptour.com/en/players/patrice-dominguez/d080/overview
1974-12-20,64,Roger Dowdeswell,ZIM,30,0,0,https://www.atptour.com/en/players/roger-dowdeswell/d081/overview
1974-12-20,65,Paul Gerken,USA,24,0,0,https://www.atptour.com/en/players/paul-gerken/g073/overview
1974-12-20,66,Patricio Cornejo,CHI,30,0,0,https://www.atptour.com/en/players/patricio-cornejo/c088/overview
1974-12-20,67,Karl Meiler,GER,25,0,0,https://www.atptour.com/en/players/karl-meiler/m055/overview
1974-12-20,68,Ove Nils Bengtson,SWE,29,0,0,https://www.atptour.com/en/players/ove-nils-bengtson/b126/overview
1974-12-20,69,Patrick Proisy,FRA,25,0,0,https://www.atptour.com/en/players/patrick-proisy/p085/overview
1974-12-20,70,Sherwood Stewart,USA,28,0,0,https://www.atptour.com/en/players/sherwood-stewart/s082/overview
1974-12-20,71,Dick Crealy,AUS,30,0,0,https://www.atptour.com/en/players/dick-crealy/c093/overview
1974-12-20,72,Ion Tiriac,ROU,35,0,0,https://www.atptour.com/en/players/ion-tiriac/t040/overview
1974-12-20,73,Antonio Zugarelli,ITA,24,0,0,https://www.atptour.com/en/players/antonio-zugarelli/z013/overview
1974-12-20,74,Jairo Velasco Sr,COL,27,0,0,https://www.atptour.com/en/players/jairo-velasco-sr/v294/overview
1974-12-20,75,Barry Phillips-Moore,AUS,37,0,0,https://www.atptour.com/en/players/barry-phillips-moore/p078/overview
1974-12-20,76,Ray Ruffels,AUS,28,0,0,https://www.atptour.com/en/players/ray-ruffels/r076/overview
1974-12-20,77,Zeljko Franulovic,CRO,27,0,0,https://www.atptour.com/en/players/zeljko-franulovic/f074/overview
1974-12-20,78,Grover Raz Reid,USA,23,0,0,https://www.atptour.com/en/players/grover-raz-reid/r068/overview
1974-12-20,79,Pierre Barthes,FRA,33,0,0,https://www.atptour.com/en/players/pierre-barthes/b122/overview
1974-12-20,79,Julian Ganzabal,ARG,28,0,0,https://www.atptour.com/en/players/julian-ganzabal/g068/overview
1974-12-20,81,Hans Kary,AUT,25,0,0,https://www.atptour.com/en/players/hans-kary/k041/overview
1974-12-20,82,Roy Emerson,AUS,38,0,0,https://www.atptour.com/en/players/roy-emerson/e030/overview
1974-12-20,83,Georges Goven,FRA,26,0,0,https://www.atptour.com/en/players/georges-goven/g031/overview
1974-12-20,84,Paul Kronk,AUS,20,0,0,https://www.atptour.com/en/players/paul-kronk/k073/overview
1974-12-20,85,John Whitlinger,USA,20,0,0,https://www.atptour.com/en/players/john-whitlinger/w051/overview
1974-12-20,86,William Brown,USA,29,0,0,https://www.atptour.com/en/players/william-brown/b134/overview
1974-12-20,87,Anand Amritraj,IND,22,0,0,https://www.atptour.com/en/players/anand-amritraj/a021/overview
1974-12-20,87,Colin Dibley,AUS,30,0,0,https://www.atptour.com/en/players/colin-dibley/d076/overview
1974-12-20,89,Raymond Moore,RSA,28,0,0,https://www.atptour.com/en/players/raymond-moore/m118/overview
1974-12-20,90,Milan Holecek,CZE,31,0,0,https://www.atptour.com/en/players/milan-holecek/h059/overview
1974-12-20,91,Steve Krulevitz,USA,23,0,0,https://www.atptour.com/en/players/steve-krulevitz/k053/overview
1974-12-20,92,John Lloyd,GBR,20,0,0,https://www.atptour.com/en/players/john-lloyd/l036/overview
1974-12-20,93,Vladimir Zednik,CZE,27,0,0,https://www.atptour.com/en/players/vladimir-zednik/z023/overview
1974-12-20,94,Ivan Molina,COL,28,0,0,https://www.atptour.com/en/players/ivan-molina/m152/overview
1974-12-20,95,Hans-Joachim Ploetz,GER,30,0,0,https://www.atptour.com/en/players/hans-joachim-ploetz/p081/overview
1974-12-20,96,Fred McNair IV,USA,24,0,0,https://www.atptour.com/en/players/fred-mcnair-iv/m146/overview
1974-12-20,97,Gerald Battrick,GBR,27,0,0,https://www.atptour.com/en/players/gerald-battrick/b124/overview
1974-12-20,98,Mike Estep,USA,25,0,0,https://www.atptour.com/en/players/mike-estep/e040/overview
